epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,177.669,1.53779,2.652,1.57019,1.27369,0,0.61332,0.54985,0.57304,0.31199,0.61656,0.54133,0.56318,0.27229,1.46444,2.50464,1.5005,1.26746,0,0.000666141,0.000666141,0.000666141
2,352.65,1.48944,2.49985,1.33778,1.25186,0,0.62716,0.56203,0.59446,0.3439,0.63051,0.55246,0.58497,0.2924,1.38938,2.38012,1.27185,1.24231,0,0.00128883,0.00128883,0.00128883
3,527.199,1.46242,2.46302,1.28952,1.24096,0,0.66035,0.56432,0.61296,0.35501,0.66627,0.55744,0.60459,0.31236,1.34688,2.3373,1.22946,1.2255,0,0.00186751,0.00186751,0.00186751
4,700.672,1.43351,2.41333,1.24455,1.22352,0,0.67775,0.60427,0.64878,0.38139,0.67901,0.59456,0.63728,0.32929,1.31891,2.27237,1.16982,1.20407,0,0.001802,0.001802,0.001802
5,882.146,1.40171,2.35352,1.19732,1.20447,0,0.67544,0.60118,0.64456,0.39046,0.67596,0.59582,0.63585,0.33945,1.27669,2.1679,1.1441,1.1777,0,0.001736,0.001736,0.001736
6,1055.92,1.38492,2.31937,1.17172,1.1963,0,0.7059,0.62026,0.68058,0.41527,0.7083,0.61475,0.67143,0.3611,1.24761,2.1105,1.08723,1.1651,0,0.00167,0.00167,0.00167
7,1230.16,1.3707,2.29783,1.15122,1.18821,0,0.7087,0.61287,0.67335,0.41346,0.71181,0.60512,0.66462,0.35496,1.25312,2.12105,1.08215,1.15455,0,0.001604,0.001604,0.001604
8,1401.73,1.35619,2.26732,1.12566,1.17979,0,0.71327,0.61289,0.68009,0.42268,0.72105,0.60282,0.67004,0.36371,1.23001,2.09618,1.04334,1.15332,0,0.001538,0.001538,0.001538
9,1574.99,1.34797,2.25348,1.11503,1.17182,0,0.71173,0.63424,0.68808,0.42622,0.71188,0.622,0.67586,0.36558,1.2262,2.06815,1.03801,1.14612,0,0.001472,0.001472,0.001472
10,1749.83,1.33358,2.22679,1.09436,1.16427,0,0.71062,0.6342,0.68804,0.42721,0.71168,0.62724,0.6784,0.37024,1.22216,2.08994,1.0434,1.14099,0,0.001406,0.001406,0.001406
